subject,topic,difficulty,marks,year,input_text,target_text,source_file,pyp_id
Software Project Management,Network Diagram,Medium,,2026,Generate a Medium  Software Project Management question about Network Diagram.,"ABC Tech Solutions, a mid-sized software development company specialising in custom software
solutions for various industries, has been approached by HealthPlus, a healthcare provider, with 20
branches in Malaysia, to develop a comprehensive patient management system (PMS). The system
aims to streamline patient data management, appointment scheduling, billing, and telemedicine
services. HealthPlus provided several key requirements for the PMS, including secure storage of patient
medical histories, an intuitive interface for booking and managing appointments, an automated billing
system with insurance processing and online payments, and a secure telemedicine feature for virtual
consultations. The system also needs to support different user roles to ensure data privacy and security,
and comply with healthcare regulations
such
as
HIPAA (Health Insurance
Portability and
Accountability Act). It is anticipated that there will be high risks with the system installation as it
involves the entire nation.
The project has a duration of 12 months and a budgel of RM500,000. The project team includes John
Smith as the Project Manager, Alice Johnson as the Lead Developer, Sarah Lee as the UL/UX Designer,
Mark Brown as the QA Specialist, and Emma White as the Business Analyst.
Answer the following questions based on the ABC Tech Solutions scenario.",Software Engineering Test 4,28a1d2b2-f50d-4890-9c07-4277af20790c
Software Project Management,GQM,Hard,12,2026,Generate a Hard 12-mark Software Project Management question about GQM.,"Identify TWO (2) major business
goals and ONE (1) project goals. For each objective
mentioned, elahorate on one effectiveness measurement that could be used to determine if the
objective has been achieved.

Discuss TWO (2) importance of resource allocation and resource leveling in the context of the
given project scenario. Identify TWO (2) challenges might ABC Tech Solutions face if these
processes are not managed effectively?
(4 + )
During the project execution, John Smith, the project manager, identified the issues related to
task slippage and poor-quality deliverables. Identify ONE (1) corrective action for each
identified issue and evaluate the potential drawbacks of each corrective action.



BAIT3153 SOFTWARE PROJECT MANAGEMENT",Software Engineering Test 4,28a1d2b2-f50d-4890-9c07-4277af20790c
Software Project Management,Unknown,Medium,,2026,Generate a Medium  Software Project Management question about Unknown.,Answer the following questions based on the ABC Tech Solutions scenario from Question 1.,Software Engineering Test 4,28a1d2b2-f50d-4890-9c07-4277af20790c
Software Project Management,Software Process Model,Medium,,2026,Generate a Medium  Software Project Management question about Software Process Model.,"During the requirement analysis, HealthPlus CEO, Mr. Alan, told Mr. John Smith, the project
manager, ""We hope to use certain parts of the system earlier than the full implementation to
address our immediate needs. This will allow us to start managing patient data more efficiently
while the remaining functionalities are still being developed.""
Identify a suitable software process model to be adopted for the above scenario. Justify TWO",Software Engineering Test 4,28a1d2b2-f50d-4890-9c07-4277af20790c
Software Project Management,Standards,Medium,4,2026,Generate a Medium 4-mark Software Project Management question about Standards.,"reasons of your choice.
(1 + )
Establishing a proper quantitative standard to measure the software is crucial for ensuring its
quality. By defining specific metrics, the system can be effectively assessed and improved.",Software Engineering Test 4,28a1d2b2-f50d-4890-9c07-4277af20790c
Software Project Management,SQA,Hard,8,2026,Generate a Hard 8-mark Software Project Management question about SQA.,"Considering McCall's software quality attributes, explain TWO (2) possible quality
attributes relevant to the HealthPlus Patient Management System. For each identified
quality attribute, provide TWO (2) metrics that can be used to measure them.
(6 + )",Software Engineering Test 4,28a1d2b2-f50d-4890-9c07-4277af20790c
Software Project Management,Software Metrics,Medium,6,2026,Generate a Medium 6-mark Software Project Management question about Software Metrics.,Discuss TWO (2) characteristics of good metrics.,Software Engineering Test 4,28a1d2b2-f50d-4890-9c07-4277af20790c
Software Project Management,Unknown,Medium,,2026,Generate a Medium  Software Project Management question about Unknown.,Answer the following questions based on the ABC Tech Solutions scenario from Question 1.,Software Engineering Test 4,28a1d2b2-f50d-4890-9c07-4277af20790c
Software Project Management,Cost Estimation,Medium,6,2026,Generate a Medium 6-mark Software Project Management question about Cost Estimation.,"During project execution, John Smith faced some difficulties in tracing the project progress.
Justify TWO (2) reasons why software project's progress is not visible as compared to other
types of projects.

John Smith would like to improve the software development process. He needs to carry out
process measurement and process analysis before any process changes can be made.",Software Engineering Test 4,28a1d2b2-f50d-4890-9c07-4277af20790c
Software Project Management,Software Metrics,Medium,6,2026,Generate a Medium 6-mark Software Project Management question about Software Metrics.,"Elaborate THREE (3) process metrics which can be collected during process
measurement.",Software Engineering Test 4,28a1d2b2-f50d-4890-9c07-4277af20790c
Software Project Management,Software Process Model,Medium,6,2026,Generate a Medium 6-mark Software Project Management question about Software Process Model.,"Based on the challenge faced by John Smith mentioned in Question 3 a), suggest a
goal for the Software Process Improvement (SPI). Elaborate on TWO (2) most
significant process attributes to be considered during the SPI to achieve the suggested
goal.
(1 + )
System release is a crucial phase in the software development lifecycle where the developed
software is made available to users. Proper release planning is essential to ensure the software
is delivered on time, within budget, and with the desired quality. Discuss TWO (2) major
factors that influence system release planning.




BAIT3153 SOFTWARE PROJECT MANAGEMENT",Software Engineering Test 4,28a1d2b2-f50d-4890-9c07-4277af20790c
Software Project Management,Unknown,Medium,,2026,Generate a Medium  Software Project Management question about Unknown.,Answer the following questions based on the ABC Tech Solutions scenario from Question 1.,Software Engineering Test 4,28a1d2b2-f50d-4890-9c07-4277af20790c
Software Project Management,Risk,Hard,9,2026,Generate a Hard 9-mark Software Project Management question about Risk.,"One of the identified risks during the risk analysis activity is project slippage. Propose a suitable
plan for risk mitigation, monitoring, and management actions to resolve this issue.",Software Engineering Test 4,28a1d2b2-f50d-4890-9c07-4277af20790c
Software Project Management,Network Diagram,Hard,7,2026,Generate a Hard 7-mark Software Project Management question about Network Diagram.,"Dependability is one of the important properties for a system. Based on the given
scenario, evaluate if the HealthPlus Patient Management System is a safety-critical or
business-critical system. Provide TWO (2) justifications for your answer.
(1 + )
Propose ONE (1) suitable approach to achieve dependability for the HealthPlus Patient
Management System. Provide ONE (1) justification for the selected approach with
ONE (1) appropriate example.",Software Engineering Test 4,28a1d2b2-f50d-4890-9c07-4277af20790c
